Vehicle ID,Lane,Frame,Timestamp
1284,1,2858,00:01:35
1271,1,2909,00:01:36
1316,1,2963,00:01:38
1323,1,2965,00:01:38
1327,1,2973,00:01:39
1333,1,2992,00:01:39
1317,1,2993,00:01:39
1342,1,3054,00:01:41
1345,1,3056,00:01:41
1346,1,3063,00:01:42
1300,2,3094,00:01:43
1359,1,3096,00:01:43
1361,1,3101,00:01:43
1367,2,3110,00:01:43
1358,1,3158,00:01:45
1383,1,3174,00:01:45
1387,2,3186,00:01:46
1368,1,3187,00:01:46
1399,2,3193,00:01:46
1404,2,3198,00:01:46
1406,1,3209,00:01:46
1370,1,3241,00:01:48
1411,2,3250,00:01:48
1375,1,3272,00:01:49
1423,1,3299,00:01:49
1374,2,3324,00:01:50
1431,3,3332,00:01:51
1436,1,3335,00:01:51
1437,2,3398,00:01:53
1456,2,3411,00:01:53
1458,1,3422,00:01:54
1457,1,3428,00:01:54
1467,1,3445,00:01:54
1470,2,3449,00:01:54
1489,3,3505,00:01:56
1496,1,3510,00:01:56
1491,1,3510,00:01:56
1506,1,3556,00:01:58
1476,1,3569,00:01:58
1516,1,3580,00:01:59
1523,1,3627,00:02:00
1518,2,3628,00:02:00
1524,1,3635,00:02:01
1528,2,3641,00:02:01
1526,3,3655,00:02:01
1531,2,3659,00:02:01
1533,2,3670,00:02:02
1534,2,3684,00:02:02
1517,1,3740,00:02:04
1542,1,3744,00:02:04
1544,1,3749,00:02:04
1567,1,3882,00:02:09
1575,1,3892,00:02:09
1571,2,3903,00:02:10
1580,1,3904,00:02:10
1585,2,3907,00:02:10
1587,1,3913,00:02:10
1592,1,3918,00:02:10
1591,1,3918,00:02:10
1596,1,3925,00:02:10
1598,2,3926,00:02:10
1597,1,3926,00:02:10
1600,1,3934,00:02:11
1554,1,3948,00:02:11
1558,1,3965,00:02:12
1620,2,4018,00:02:13
1635,2,4033,00:02:14
1667,1,4111,00:02:17
1648,1,4129,00:02:17
1666,2,4144,00:02:18
1694,2,4148,00:02:18
1697,3,4153,00:02:18
1642,1,4157,00:02:18
1701,3,4159,00:02:18
1658,1,4164,00:02:18
1705,2,4166,00:02:18
1711,3,4173,00:02:19
1653,1,4179,00:02:19
1680,1,4200,00:02:19
1728,3,4216,00:02:20
1750,1,4234,00:02:21
1754,1,4241,00:02:21
1702,1,4243,00:02:21
1741,3,4246,00:02:21
1767,1,4261,00:02:22
1712,1,4279,00:02:22
1793,3,4285,00:02:22
1781,1,4296,00:02:23
1800,1,4304,00:02:23
1732,1,4311,00:02:23
1811,1,4334,00:02:24
1797,2,4350,00:02:24
1823,1,4357,00:02:25
1831,1,4367,00:02:25
1848,2,4414,00:02:27
1852,1,4428,00:02:27
1859,3,4430,00:02:27
1866,2,4438,00:02:27
1882,1,4466,00:02:28
1885,1,4475,00:02:29
1887,2,4481,00:02:29
1892,2,4488,00:02:29
1828,1,4494,00:02:29
1809,2,4508,00:02:30
1911,2,4529,00:02:30
1916,2,4550,00:02:31
1855,2,4588,00:02:32
1942,2,4599,00:02:33
1886,1,4612,00:02:33
1945,2,4619,00:02:33
1950,1,4651,00:02:35
1913,1,4662,00:02:35
1993,2,4705,00:02:36
2008,1,4715,00:02:37
2009,3,4728,00:02:37
2020,2,4744,00:02:38
2019,1,4744,00:02:38
2031,3,4764,00:02:38
2032,2,4765,00:02:38
2040,2,4772,00:02:39
2049,1,4787,00:02:39
2056,2,4792,00:02:39
2067,2,4804,00:02:40
2010,1,4804,00:02:40
2057,3,4810,00:02:40
2004,1,4823,00:02:40
2089,1,4838,00:02:41
2094,1,4840,00:02:41
2104,2,4850,00:02:41
2105,1,4853,00:02:41
2114,1,4863,00:02:42
2099,2,4866,00:02:42
2055,1,4875,00:02:42
2140,1,4918,00:02:43
2134,1,4923,00:02:44
2157,2,4929,00:02:44
2160,1,4933,00:02:44
2166,1,4937,00:02:44
2145,2,4938,00:02:44
